point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,category
v_0p30_t_0p30_lm_0p50,0.3,0.3,0.5,0.1999999999999987,3.491244017878365e-16,1,0,0,-0.5838277191364555,robust_nontrivial
v_0p30_t_0p30_lm_0p60,0.3,0.3,0.6,-1.096345236817342e-15,-1.025064295857893e-16,0,1,0,-0.016241365375623172,near_transition
v_0p30_t_0p40_lm_0p00,0.3,0.4,0.0,0.4,-2.684746751379499e-16,1,0,0,0.597584480039656,robust_nontrivial
v_0p30_t_0p40_lm_0p20,0.3,0.4,0.2,0.19999999999999965,-9.91652153728761e-17,1,0,0,0.7907859630626434,robust_nontrivial
v_0p30_t_0p40_lm_0p30,0.3,0.4,0.3,1.6653345369377348e-16,4.046482367092644e-17,1,1,0,0.6085974223349883,near_transition
v_0p30_t_0p40_lm_0p40,0.3,0.4,0.4,0.1999999999999998,8.776051821338764e-17,1,0,0,1.217562036798712,robust_nontrivial
v_0p30_t_0p40_lm_0p50,0.3,0.4,0.5,0.39999999999999913,2.51599468994858e-16,1,0,0,1.3734674583674737,robust_nontrivial
v_0p30_t_0p40_lm_0p70,0.3,0.4,0.7,-7.494005416219807e-16,9.239672225466348e-17,1,1,0,0.5144395287875729,near_transition
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,-2.220446049250313e-16,-3.1644481707629816e-16,0,1,0,0.004366120140483161,near_transition
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,-1.1102230246251565e-15,-3.4347591098685825e-17,1,1,0,0.5579534907301564,near_transition
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,-9.43689570931383e-16,9.646854565005024e-17,0,1,0,0.41574416847654233,near_transition
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,0.19999999999999912,-7.269419455031054e-17,1,0,0,-0.6434593885413825,robust_nontrivial
v_0p30_t_0p50_lm_0p50,0.3,0.5,0.5,0.5999999999999981,1.4586394006988647e-16,1,0,0,0.6362638766716582,robust_nontrivial
v_0p30_t_0p50_lm_0p60,0.3,0.5,0.6,0.3999999999999987,-1.09180702585449e-16,1,0,0,0.7250159855599346,robust_nontrivial
v_0p30_t_0p50_lm_0p70,0.3,0.5,0.7,0.19999999999999774,-4.748764571474221e-16,1,1,0,-1.0045704509101716,robust_nontrivial
v_0p30_t_0p50_lm_0p80,0.3,0.5,0.8,-7.771561172376096e-16,1.4135798584282297e-16,0,1,0,1.628206810746573,near_transition
v_0p30_t_0p50_lm_0p90,0.3,0.5,0.9,3.885780586188048e-16,1.0347327908631058e-16,0,1,0,-0.497034720851106,near_transition
v_0p30_t_0p50_lm_1p00,0.3,0.5,1.0,-9.43689570931383e-16,2.356609067582143e-16,1,1,0,-0.8256387668555861,near_transition
v_0p30_t_0p60_lm_0p30,0.3,0.6,0.3,-1.249000902703301e-16,-5.959682501720512e-17,1,1,0,0.913028617212143,near_transition
v_0p30_t_0p60_lm_0p40,0.3,0.6,0.4,0.19999999999999912,3.133183521965816e-16,1,0,0,-0.5900989209092878,robust_nontrivial
v_0p30_t_0p60_lm_0p70,0.3,0.6,0.7,-1.8041124150158794e-16,0.9999999999999999,1,1,1,-1.1369130652341408,near_transition
v_0p30_t_0p60_lm_0p80,0.3,0.6,0.8,0.19999999999999868,2.2631195147833117e-16,1,1,0,0.5745353849219237,robust_nontrivial
v_0p30_t_0p60_lm_1p00,0.3,0.6,1.0,0.399999999999998,2.1182214385558715e-16,1,0,0,0.8858716524167984,robust_nontrivial
v_0p30_t_0p70_lm_0p40,0.3,0.7,0.4,-9.020562075079397e-16,-8.097991683624225e-17,1,1,0,-1.0107831068278803,near_transition
v_0p30_t_0p70_lm_0p50,0.3,0.7,0.5,0.1999999999999989,-7.280831588211965e-17,1,0,0,0.7944842797115597,robust_nontrivial
v_0p30_t_0p70_lm_0p60,0.3,0.7,0.6,2.636779683484747e-16,1.0601848938211722e-16,0,1,0,1.7123823558826332,near_transition
