v,alpha,state_index,rank_by_absE,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.6,1.0,52,3,-0.05778408425185618,0.05778408425185618,0.1425803725721418,0.6452733091414756,0.21214631828638253,0.08679127756396972
0.6,1.0,51,4,-0.059911975130847124,0.059911975130847124,0.23072014279028294,0.5644897270630533,0.20479013014666425,0.061221191375051394
0.6,1.0,50,5,-0.059911975130847395,0.059911975130847395,0.23072014279028238,0.5644897270630538,0.204790130146664,0.06122119137505126
0.6,1.0,49,6,-0.07926882261223313,0.07926882261223313,0.03666296692317727,0.7278353556961495,0.23550167738067335,0.09111148339145685
0.6,1.0,48,7,-0.07926882261223318,0.07926882261223318,0.044069324972449,0.7247371251710181,0.23119354985653306,0.09085033331769796
0.7,0.0,50,0,0.0010171387668090391,0.0010171387668090391,0.684821113355845,0.2813779903742421,0.0338008962699137,0.248728628763227
0.7,0.0,49,1,-0.0010171387668091235,0.0010171387668091235,0.6848211133558451,0.2813779903742416,0.033800896269913325,0.248728628763227
0.7,0.0,51,2,0.015180324104855463,0.015180324104855463,0.3601057513849322,0.5763767451647174,0.0635175034503515,0.08195980140387513
0.7,0.0,48,3,-0.015180324104855774,0.015180324104855774,0.36010575138493295,0.5763767451647168,0.06351750345035026,0.08195980140387531
0.7,0.0,47,4,-0.057400211652615024,0.057400211652615024,0.2534177033473355,0.46116601812732344,0.2854162785253416,0.048279088414176885
0.7,0.0,52,5,0.05740021165261522,0.05740021165261522,0.25341770334733726,0.46116601812732255,0.2854162785253408,0.048279088414177135
0.7,0.0,53,6,0.06670975435406963,0.06670975435406963,0.020891401537136672,0.6090161445673016,0.37009245389556206,0.052788897369597534
0.7,0.0,46,7,-0.06670975435406978,0.06670975435406978,0.020891401537137345,0.609016144567301,0.37009245389556156,0.05278889736959722
0.7,0.25,50,0,-0.014589614865742713,0.014589614865742713,0.3350263583384297,0.5972910826723802,0.06768255898918973,0.08168971212394323
0.7,0.25,51,1,0.02116606004269703,0.02116606004269703,0.41075976733172,0.5271023925158658,0.06213784015241393,0.08386310288692932
0.7,0.25,52,2,0.03904977765278092,0.03904977765278092,0.10594886049446381,0.5582853790327722,0.33576576047276546,0.04644911535908366
0.7,0.25,53,3,0.04023189868430138,0.04023189868430138,0.024488281252499283,0.6091789102274268,0.36633280852007444,0.05240718048755075
0.7,0.25,54,4,0.04587629512053536,0.04587629512053536,0.13698973045707247,0.5138596699867772,0.34915059955615046,0.06323481618489896
0.7,0.25,55,5,0.045887852094708165,0.045887852094708165,0.1284671942539001,0.5672793387643661,0.3042534669817344,0.054913008285464526
0.7,0.25,56,6,0.046754339890320754,0.046754339890320754,0.03949426232956234,0.5555510909213683,0.40495464674906917,0.056043855872055806
0.7,0.25,49,7,-0.06975890517720629,0.06975890517720629,0.1566896806723169,0.5415619937400614,0.30174832558762116,0.050399950182641665
0.7,0.5,51,0,0.011089828707977785,0.011089828707977785,0.04882799926536614,0.5984467150280438,0.35272528570659045,0.047343589265973554
0.7,0.5,52,1,0.011816069271025622,0.011816069271025622,0.02606341629529755,0.6145281549906524,0.35940842871404965,0.05341119748388222
0.7,0.5,50,2,-0.013208661069133222,0.013208661069133222,0.3235024762432882,0.5962482983368278,0.08024922541988457,0.08238076181264638
0.7,0.5,53,3,0.014643627129688187,0.014643627129688187,0.24174422501218945,0.5321092438097339,0.22614653117807743,0.05606449949111437
0.7,0.5,54,4,0.019889167549812445,0.019889167549812445,0.13339098267823316,0.5704941703917475,0.29611484693001944,0.05566708898907634
