point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_1p00_t_0p50_lm_0p30,1.0,0.5,0.3,1.0,-0.41421356237309415,0.16619037896905942,0.5804039413421536,connecting_edge_branch,1,0,1,284,0.5867768595041323,1,1,0.9815354087548053,touches_both_band_edges_with_large_span
v_1p00_t_0p50_lm_0p40,1.0,0.5,0.4,1.0,-0.41421356237309453,0.28062484748656946,0.694838409859664,connecting_edge_branch,1,0,1,272,0.5702479338842975,1,1,0.9734095794422251,touches_both_band_edges_with_large_span
v_1p00_t_0p50_lm_0p50,1.0,0.5,0.5,1.0,-0.41421356237309476,0.4142135623730948,0.8284271247461896,connecting_edge_branch,1,0,1,276,0.5702479338842975,1,1,0.9754339277651394,touches_both_band_edges_with_large_span
v_1p10_t_0p50_lm_0p00,1.1,0.5,0.0,0.8999999999999999,-0.20000000000000015,-0.20000000000000032,-1.6653345369377348e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_1p10_t_0p50_lm_0p10,1.1,0.5,0.1,0.8999999999999999,-0.2453624047073695,-0.17804555427071264,0.06731685043665686,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,-0.24536240470737022,-0.11511421982039018,0.13024818488698003,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p10_t_0p50_lm_0p30,1.1,0.5,0.3,0.8999999999999999,-0.24536240470737064,-0.01833461736080343,0.2270277873465672,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p10_t_0p50_lm_0p40,1.1,0.5,0.4,0.8999999999999999,-0.2453624047073705,0.10415945787922935,0.34952186258659984,connecting_edge_branch,1,0,1,168,0.35537190082644626,1,1,0.9683110440815569,touches_both_band_edges_with_large_span
v_1p10_t_0p50_lm_0p50,1.1,0.5,0.5,0.8999999999999999,-0.2453624047073705,0.24536240470737083,0.49072480941474134,connecting_edge_branch,1,0,1,196,0.4049586776859504,1,1,0.9759418939446174,touches_both_band_edges_with_large_span
v_1p20_t_0p50_lm_0p00,1.2,0.5,0.0,0.8,-0.399999999999999,-0.39999999999999997,-9.43689570931383e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_1p20_t_0p50_lm_0p10,1.2,0.5,0.1,0.8,-0.3753788748764674,-0.19999999999999998,0.17537887487646744,isolated_midgap_state,1,1,0,40,0.1322314049586777,1,1,0.892585960055872,edge_states_exist_but_not_connecting_band4_and_band5
v_1p20_t_0p50_lm_0p20,1.2,0.5,0.2,0.8,-0.3055728090000836,-0.0806248474865701,0.22494796151351348,isolated_midgap_state,1,1,0,40,0.1322314049586777,0,1,0.846856149709447,edge_states_exist_but_not_connecting_band4_and_band5
v_1p20_t_0p50_lm_0p30,1.2,0.5,0.3,0.8,-0.19999999999999965,-0.08062484748657031,0.11937515251342934,isolated_midgap_state,1,1,0,20,0.049586776859504134,1,1,0.8057002864644149,edge_states_exist_but_not_connecting_band4_and_band5
v_1p20_t_0p50_lm_0p40,1.2,0.5,0.4,0.8,-0.0806248474865693,-0.06862915010152461,0.01199569738504469,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p20_t_0p50_lm_0p50,1.2,0.5,0.5,0.8,-0.08062484748656806,0.08062484748656955,0.16124969497313763,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p30_t_0p50_lm_0p00,1.3,0.5,0.0,0.7,-0.5999999999999998,-0.3999999999999997,0.20000000000000007,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p30_t_0p50_lm_0p10,1.3,0.5,0.1,0.7,-0.4000000000000002,-0.39999999999999997,2.220446049250313e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_1p30_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,-0.39999999999999997,-0.20000000000000043,0.19999999999999954,isolated_midgap_state,1,1,0,44,0.09917355371900827,1,1,0.9060694145903853,edge_states_exist_but_not_connecting_band4_and_band5
v_1p30_t_0p50_lm_0p30,1.3,0.5,0.3,0.7,-0.37804555427071124,-1.8180540658898786e-16,0.37804555427071107,isolated_midgap_state,1,1,0,84,0.18181818181818182,1,1,0.9525265969272793,edge_states_exist_but_not_connecting_band4_and_band5
v_1p30_t_0p50_lm_0p40,1.3,0.5,0.4,0.7,-0.23698541872653417,0.0793444384266291,0.31632985715316325,isolated_midgap_state,1,1,0,60,0.1322314049586777,1,1,0.9540865829658126,edge_states_exist_but_not_connecting_band4_and_band5
v_1p30_t_0p50_lm_0p50,1.3,0.5,0.5,0.7,-0.07934443842662951,0.07934443842662933,0.15868887685325883,isolated_midgap_state,1,1,0,24,0.049586776859504134,0,0,0.6745498691491093,edge_states_exist_but_not_connecting_band4_and_band5
v_1p40_t_0p50_lm_0p00,1.4,0.5,0.0,0.6000000000000001,-0.7999999999999989,-0.20000000000000034,0.5999999999999985,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p40_t_0p50_lm_0p10,1.4,0.5,0.1,0.6000000000000001,-0.5999999999999999,-0.20000000000000065,0.39999999999999925,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p40_t_0p50_lm_0p20,1.4,0.5,0.2,0.6000000000000001,-0.39999999999999963,-0.20000000000000082,0.19999999999999882,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p40_t_0p50_lm_0p30,1.4,0.5,0.3,0.6000000000000001,-0.20000000000000026,-0.20000000000000012,1.3877787807814457e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_1p40_t_0p50_lm_0p40,1.4,0.5,0.4,0.6000000000000001,-0.20000000000000007,4.964589119308958e-16,0.20000000000000057,isolated_midgap_state,1,1,0,56,0.11570247933884298,1,1,0.9869645372050339,edge_states_exist_but_not_connecting_band4_and_band5
v_1p40_t_0p50_lm_0p50,1.4,0.5,0.5,0.6000000000000001,-0.19999999999999996,0.1999999999999998,0.39999999999999974,isolated_midgap_state,1,1,0,120,0.24793388429752067,1,1,0.9876631318209127,edge_states_exist_but_not_connecting_band4_and_band5
v_1p50_t_0p50_lm_0p00,1.5,0.5,0.0,0.5,-0.9999999999999992,-4.623260188672676e-16,0.9999999999999988,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p50_t_0p50_lm_0p10,1.5,0.5,0.1,0.5,-0.8000000000000002,3.0112143235207856e-16,0.8000000000000005,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p50_t_0p50_lm_0p20,1.5,0.5,0.2,0.5,-0.5999999999999998,-2.71497260159348e-16,0.5999999999999995,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p50_t_0p50_lm_0p30,1.5,0.5,0.3,0.5,-0.39999999999999925,-5.427633208342623e-16,0.3999999999999987,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p50_t_0p50_lm_0p40,1.5,0.5,0.4,0.5,-0.20000000000000007,-4.3801543944167383e-16,0.19999999999999962,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p50_t_0p50_lm_0p50,1.5,0.5,0.5,0.5,-3.713037256052102e-16,-1.306888717836634e-17,3.5823483842684384e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_1p60_t_0p50_lm_0p00,1.6,0.5,0.0,0.3999999999999999,-1.1999999999999995,0.19999999999999973,1.3999999999999992,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p60_t_0p50_lm_0p10,1.6,0.5,0.1,0.3999999999999999,-0.9999999999999998,0.20000000000000037,1.2000000000000002,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
v_1p60_t_0p50_lm_0p20,1.6,0.5,0.2,0.3999999999999999,-0.7999999999999997,0.20000000000000032,1.0,empty_gap,0,0,0,0,0.0,0,0,0.0,no_edge_like_state_inside_band23_window
