v,lm,delta_chi_mean,delta_chi_max,r_break_mean,r_break_max,comment
0.0,0.0,0.552344770738994,0.552344770738994,0.276172385369497,0.276172385369497,No near-exact chiral candidate found; treating Gamma as approximate.
1.05,0.0,0.4481652893051483,1.4044937663535666,0.22408264465257416,0.7022468831767833,No near-exact chiral candidate found; treating Gamma as approximate.
1.06,0.0,0.4461745175016365,1.4002800840280099,0.22308725875081825,0.7001400420140049,No near-exact chiral candidate found; treating Gamma as approximate.
1.07,0.0,0.4441704399143084,1.3953488372093024,0.2220852199571542,0.6976744186046512,No near-exact chiral candidate found; treating Gamma as approximate.
1.08,0.0,0.44215398200132794,1.3897231638362384,0.22107699100066397,0.6948615819181192,No near-exact chiral candidate found; treating Gamma as approximate.
1.09,0.0,0.44012608994279245,1.3834289277321494,0.22006304497139623,0.6917144638660747,No near-exact chiral candidate found; treating Gamma as approximate.
1.1,0.0,0.43808772611139285,1.3764944032233706,0.21904386305569643,0.6882472016116853,No near-exact chiral candidate found; treating Gamma as approximate.
0.0,0.1,0.5773502691896258,0.5773502691896258,0.2886751345948129,0.2886751345948129,No near-exact chiral candidate found; treating Gamma as approximate.
0.01,0.1,0.5772242869119698,0.5821978408621801,0.2886121434559849,0.29109892043109004,No near-exact chiral candidate found; treating Gamma as approximate.
0.02,0.1,0.5770810433527014,0.587119000825765,0.2885405216763507,0.2935595004128825,No near-exact chiral candidate found; treating Gamma as approximate.
0.03,0.1,0.576920552137124,0.592115194189833,0.288460276068562,0.2960575970949165,No near-exact chiral candidate found; treating Gamma as approximate.
0.04,0.1,0.5767428289546083,0.5971878941208125,0.28837141447730413,0.29859394706040626,No near-exact chiral candidate found; treating Gamma as approximate.
0.05,0.1,0.5765478915247839,0.6023386019368342,0.28827394576239196,0.3011693009684171,No near-exact chiral candidate found; treating Gamma as approximate.
0.06,0.1,0.5763357595508212,0.6075688471470744,0.2881678797754106,0.3037844235735372,No near-exact chiral candidate found; treating Gamma as approximate.
0.07,0.1,0.5761064546599508,0.6128801874290865,0.2880532273299754,0.3064400937145432,No near-exact chiral candidate found; treating Gamma as approximate.
0.08,0.1,0.5758600003313874,0.6182742085368724,0.2879300001656937,0.3091371042684362,No near-exact chiral candidate found; treating Gamma as approximate.
0.09,0.1,0.5755964218118471,0.6237525241317766,0.28779821090592356,0.3118762620658883,No near-exact chiral candidate found; treating Gamma as approximate.
0.1,0.1,0.5753157460188605,0.6293167755275526,0.28765787300943024,0.3146583877637763,No near-exact chiral candidate found; treating Gamma as approximate.
0.11,0.1,0.5750180014321009,0.6349686313401706,0.28750900071605046,0.3174843156700853,No near-exact chiral candidate found; treating Gamma as approximate.
0.12,0.1,0.5747032179729709,0.6407097870320746,0.28735160898648543,0.3203548935160373,No near-exact chiral candidate found; treating Gamma as approximate.
0.13,0.1,0.5743714268726942,0.6465419643396786,0.2871857134363471,0.3232709821698393,No near-exact chiral candidate found; treating Gamma as approximate.
0.14,0.1,0.5740226605291869,0.6524669105718928,0.28701133026459347,0.3262334552859464,No near-exact chiral candidate found; treating Gamma as approximate.
0.15,0.1,0.5736569523529907,0.6584863977663931,0.2868284761764954,0.32924319888319653,No near-exact chiral candidate found; treating Gamma as approximate.
0.16,0.1,0.5732743366025631,0.6646022216891884,0.28663716830128155,0.3323011108445942,No near-exact chiral candidate found; treating Gamma as approximate.
0.17,0.1,0.5728748482092404,0.6708162006617846,0.2864374241046202,0.3354081003308923,No near-exact chiral candidate found; treating Gamma as approximate.
0.18,0.1,0.5724585225921945,0.6771301741989034,0.28622926129609727,0.3385650870994517,No near-exact chiral candidate found; treating Gamma as approximate.
0.19,0.1,0.5720253954637213,0.6835460014382597,0.28601269773186067,0.34177300071912986,No near-exact chiral candidate found; treating Gamma as approximate.
0.2,0.1,0.5715755026252096,0.6900655593423543,0.2857877513126048,0.3450327796711771,No near-exact chiral candidate found; treating Gamma as approximate.
0.21,0.1,0.5711088797541514,0.6966907406505696,0.2855544398770757,0.3483453703252848,No near-exact chiral candidate found; treating Gamma as approximate.
0.22,0.1,0.5706255621825672,0.7034234515580784,0.2853127810912836,0.3517117257790392,No near-exact chiral candidate found; treating Gamma as approximate.
0.23,0.1,0.570125584667231,0.7102656090961673,0.2850627923336155,0.35513280454808366,No near-exact chiral candidate found; treating Gamma as approximate.
0.24,0.1,0.5696089811520929,0.7172191381865588,0.28480449057604645,0.3586095690932794,No near-exact chiral candidate found; treating Gamma as approximate.
